codigo_reserva,anuncio_id,data_checkin,data_checkout,preco_total,comentario,numero_hospedes
RES-000000000001,1,2023-09-20,2023-09-25,750.00,"Excelente estadia!",2
RES-000000000002,2,2023-10-05,2023-10-12,1750.00,"Adoramos a casa na praia!",4
RES-000000000003,3,2023-09-28,2023-10-03,1000.00,"O loft é muito estiloso.",1
RES-000000000004,4,2023-12-20,2023-12-27,2450.00,"Vista incrível!",3
RES-000000000005,5,2023-11-01,2023-11-04,540.00,"Perfeito para relaxar.",2
RES-000000000006,6,2023-10-10,2023-10-15,600.00,"Ótima localização.",1
RES-000000000007,7,2023-12-15,2023-12-22,3150.00,"Experiência única!",5
RES-000000000008,8,2023-09-30,2023-10-05,1050.00,"Paz e tranquilidade no campo.",3
RES-000000000009,9,2023-11-10,2023-11-13,900.00,"Fim de semana perfeito!",4
RES-000000000010,10,2023-10-20,2023-10-23,480.00,"Muito conveniente!",1
