codigo_imovel,limite_hospedes,quantidade_banheiros,aceita_animal_estimacao,valor_limpeza,data_ativacao
IMO-000000000001,3,2,True,50.00,2023-09-01
IMO-000000000002,5,3,False,80.00,2023-08-25
IMO-000000000003,2,1,False,30.00,2023-07-20
IMO-000000000004,4,3,True,90.00,2023-06-15
IMO-000000000005,4,2,False,70.00,2023-05-10
IMO-000000000006,2,1,True,30.00,2023-04-05
IMO-000000000007,6,4,True,110.00,2023-03-01
IMO-000000000008,4,2,False,60.00,2023-02-20
IMO-000000000009,5,3,False,85.00,2023-01-15
IMO-000000000010,2,1,True,35.00,2022-12-10
